Client.code,Client.name,Client.fiscalid,nit,Contact.name,Contact.name,DIRECCION DE ENTREGA,Contact.phone,Contact.mobile,Contact.email,PAG WEB
1,"sanofi-aventis de Venezuela,s.a.",J-30308848-1,66362094,NUBIA LEGRO,"EDIF. TORRE LA CASTELLANA, AV. EUGENIO MENDOZA C/CALLE JOSE A. LAMAS, PISO 7 Y 8, LA CASTELLANA",,0212-277.9000 / 9265 / 9123,,nubia.legro@aventis.com
2,"AROMALYS,C.A.",J-30284878-4,92123375,,"AVE. TRAJKOVIC,ZONA IND. LOS CERRITOS. CTRO.IND. LOS CERRITOS, PB, LOC.2, EL TAMBOR. ZONA POSTAL 1201. LOS TEQUES EDO. MIRANDA."
3,"ALFONZO RIVAS & CIA,C.A.",J-00031531-0,19058050,,"EDIF. GENERAL DE SEGUROS, PISO 8, AVE. LA ESTANCIA, CHUAO, CARACAS"
4,"AGRO HERMES,C.A.",J-00099439-0,5077095,,"PARCELAMIENTO INDUSTRIAL GUERE,PARCELA Nº 54,TURMERO, EDO. ARAGUA"
5,"AGROVISTA HERMOSA,C.A.",J-00169312-2,,,"CARRETERA PUENTE GUARICO, SECTOR EL MANGUITO, BELEN. EDO CARABOBO"
6,"ANCOR COSMETICS,C.A.",J-00128745-0,,,"C.C.CONCRESA, PISO 2, OFIC 401, PRADOS DEL ESTE, CARACAS."
7,"ARNAMAR,C.A.",J-00059251-9,57917001,,"URB. INDUSTRIAL CLORIS, TRANSVERSAL 4 ESTE, Nº 32, GUARENAS, EDO. MIRANDA"
8,"BAYER,S.A.",J-00030445-9,0014053492,GILBERTO BOLIVAR,"FINAL AVE. TAMANACO,TORRE BAYER, PISO4, EL ROSAL. CARACAS","PLANTA. AV. GONZALEZ RINCONES C/C LAS VEGAS, ZONA IND. LA TRINIDAD",212-905.2111 / 2325 / 2425,,gilberto.bolivar.gb@bayer-ag.de
9,"CERVECERIA POLAR,C.A.",J-00006372-9,,,"2DA. AVE. DE LOS CORTIJOS DE LOURDES, CARACAS"
10,"C.A, CERVECERIA REGIONAL",J-07000344-8,005041340,,"AVENIDA 17 (LOS HATICOS), Nº 112-13, MARACAIBO, EDO. ZULIA. VENEZUELA"
11,"LABORATORIOS COFASA,S.A.",J-00087626-6,0043656589,,"EDIF. COFASA, URB. LEBRUN, PETARE. EDO. MIRANDA"
12,"BIOFLUIDOS DE OCCIDENTE,C.A.",J-30018541-9,0039957124,,"ZONA IND. DE PARAMILLO, COMPLEJO PABILOSA, GALPON 3B,SAN CRISTOBAL. EDO. TACHIRA"
13,"LABORATORIOS BIOGALENIC,C.A.",J-30434625-5,,,"CALLE BERNARDO SLIMAK,EDIF. JAYOR, PISO1, SAN MARTIN, CARACAS"
14,"BIORGANIK,C.A.",J-31185485-1,,,"CALLE PEREZ PISANTI CRUCE CON CALLE JOSE JUAN DIAZ, EDIF, SANI, PISO2,URB. IND. LOS TRES PUENTES, EL TAMBOR, LOS TEQUES, EDO MIRANDA"
15,"BIOTECH LABORATORIOS,C.A.",J-00226785-2,0027795609,,"EDIF. BIOTECH, CALLE DEL ARENAL, URB. LA TRINIDAD, CARACAS"
16,"BIOTECNOQUIMICA,C.A.",J-00220032-4,0009211900,,"CALLE 10 C/CALLE 5, EDIF. WALPIREMA, PISO1, LA URBINA, CARACAS","CALLE 10 C/CALLE 5, EDIF. WALPIREMA, PISO1, LA URBINA, CARACAS"
17,"B&R COS SUPPLY,C.A.",J-31476382-3,050113800,,"CARRETERA VIEJA LAS MINAS DE BARUTA, VIA LA NAYA, A 50 MTS DEL CTRO. ARTESANAL, STA. INES, LOCAL Nº2, BARUTA. EDO. MIRANDA."
18,CAFAR COMPAÑIA ANONIMA FARMACEUTICA,J-00050164-5,0035896531,,"AVE. M. PEREZ  PISANTI, EDIF.CAFAR. URB INDUSTRIAL LOS TRES PUENTES, EL TAMBOR. EDO . MIRANDA"
19,"CALOX INTERNATIONAL,C.A",J-00021467-0,0048035159,,"AVE. DON DIEGO CISNEROS, EDIF. CALOX,LOS RUICES,CARACAS"
20,"CONSORCIO ABSORBVEN,C.A.",J-30581266-7,0093298977,,"URB. IND. SANTA CRUZ, AV. MATURIN OESTE, EDIF. ABSORBVEN, LOS NARANJOS, GUARENAS"
21,"INDUSTRIAS CORAMODIO,C.A.",J-00300166-0,0005131723,,"CALLE 8, SECTOR SUR, EDIF. RODANO, LA URNBINA, EDO. MIRANDA"
22,"CORVEQUIM,C.A.",J-00122021-6,0036749830,,"CALLE URUGUAY, URB. LA PAZ, EDIF. FARMAITALIA, PISO 1, OFIC 1, FINAL AVE. SAN MARTIN, CARACAS"
23,"CORPORACION AMBIENTAL RADON,C.A.",J-30149472-5,0073685472,,"CARRETERA VIA PARQUE NACIONAL TEREPAIMA,CUMBRES DE TEREPAIMA, PARCELA Nº62, CABUDARE. EDO. LARA"
24,"CORPORACION LCR,.C.A.",J-30876311-7,0175112383,,"C/LOMA GORDA,EDIF. LA COLINA, LOC.PB, URB. LOMAS DE URQ. SECTOR. LA CARBONERA, CARRETERA PANAMERICANA, CARRIZAL, EDO. MIRANDA"
25,"COSMETICA CIENTIFICA,S.A.",J-30114897-5,,,"URB. CALICANTO,CALLE LOPEZ AVELEDO NORTE, CTRO. PROFESIONAL PLAZA. PISO1,OFIC 1-E.MARACAY, EDO.. ARAGUA.","Av. Trajkovic, zona ind. Los cerritos, Ctro Ind. Los Cerritos, local 2, el Tambor. Los Teques"
26,"COSMETICOS ROLDA,C.A.",J-00367287-4,0067348559,,"CALLE INDUSTRIAS, 1ERA TRANSVERSAL, LOMAS DE URQUIA, LOCAL 5, P.B. CARRIZAL EDO. MIRANDA"
27,"COSMETICLASSS,IR.C.A.",J-31268392-9,0383793807,,"ZONA INDUSTRIAL DEL ESTE, CALLE D, ENTRE 1ERA Y 2DA AVE. ,EDIF. ALPONE,TORRE A, PISO1, LOS NARANJOS, GUARENAS, EDO. MIRANDA",,212-3626055/3651374/3632478,212-3626055,cosmeticlass_ir@cantv.net
28,"COSMETICS SAINT ANGEL'S 23, C.A.",J-30962610-8,0263040759,,"CALLE EL COLEGIO,GALPON 11-A, Km 12, CARRETERA PETARE SANTA LUCIA, EDO MIRANDA"
29,"SUMINISTROS DEGIL,C.A.",J-30289516-2,0073979684,,"AVE. INTERCOMUNAL,SECTOR LOS BARBECHOS, GUARENAS. EDO. MIRANDA"
30,"ESPECIALIDADES DOLLDER,C.A",J-00117472-9,0066142485,,"AVE. JOSE MARIA VARGAS, TORRE COLEGIO DE MEDICOS, PISO13, URB SANTA FE NORTE, CARACAS"
31,"DROCOSCA,C.A.",J-00011890-6,0005146160,,"EDIFICIO AMERICA, 4TA TRANSVERSAL E HORIZONTE, CARACAS"
32,"DROGUERIA CATEDRAL,C.A.",J-07548335-9,0001724304,,"CALLE COLOMBIA Nº 99-53. EDIF. FARMO, FRENTE A LA PLAZA BOLIVAR, VALENCIA, EDO. CARABOBO",,0241-8587494 - 8582346
33,"DISTRIBUCION Y PRODUCCION AGROPECUARIA,C.A. ",J-00223434-2,0278257100,,"AVE. MEJICO CON AVE.SUR 21, TORRE BELLAS ARTES, PISO 5,OFICINA 5-3, CARACAS",,212- 571.4278,212- 571.4278,diproagro@cantv.net
34,"LABORATORIOS ELMOR,S.A.",J-00219195-3,00000208-9-3,,"AVE.EUGENIO MENDOZA, CENTRO LETONIA PISO 16, LA CASTELLANA, CARACAS."
35,"FARMACIA EL RECREO III,C.A.",J-30561181-5,0087286746,,AVE. URDANETA Nº 155-70. Urb El  Recreo. Ave. Bolivar Norte CP 2001. Valencia  0241-8255804
36,"LABORATORIOS ETIFAR,C.A.",J-08503654-7,0064778366,,"AVE. INTERCOMUNAL BARQUISIMETO - CABUDARE+, KM 3, CABUDARE , EDO. LARA"
37,"FARMA,S.A",J-00349674-0,0000022080,,"AVE. PPLA. DE LOS RUICES, EDIF.FARMA, CARACAS"
38,"LABORATORIOS FARMA,S.A.", J-00013393-0,0074943942,,"AVE. PPLA. DE LOS RUICES, EDIF.FARMA, CARACAS",,212 / 239.3022 - 202.6200,FAX.212 / 239.8946
39,FARMACIA SAN ANDRES,J-01877336-4,,,"3ERA AVE., 2DA TRANSV. DE LOS PALOS GRANDES, CARACAS."
40,"FEIBO SERVICIOS INDUSTRIALES,C.A.",J-30286014-8,0066459764,,"CALLE REAL DE BELLA VISTA, EDIFICIO MARES, LOCAL C, CARACAS",,TEL./FAX4726623
41,"PRODUCTOS FITOPROD,C.A.",J-30459721-5,0085069063,,"CALLE 3B,EDIF. ESCACHI,PISO 3, LOCAL 3B, LA URBINA,CARACAS"
42,"LABORATORIOS FLUPAL,C.A.",J-30049897-2,0251060088,,"PARCELAMIENTO INDUSTRIAL LA FE, PARCELA Nº823, MACARAO, CARACAS"
43,"FORMACOL VENEZUELA,C.A.",J-00079271-2,0063985619,,"ZONA IND. DE PARAMILLO. AVE. 1, TERRAZA G, SAN  CRISTOBAL, EDO. TACHIRA."
44,"LABORATORIOS LA SANTE,C.A.",J-00015493-7,0066893618,,"CALLE 10, URB. LA URBINA SUR. EDIF. GUAYANA. PB. CARACAS","CALLE 10, URB. LA URBINA SUR. EDIF. GUAYANA. PB. CARACAS"
45,"LABORATORIOS GIEMPI,C.A.",J-30515712-0,0091927004,,"CALLE BOLIVAR. EDIF. LABORATORIOS GIEMPI, URB. LA TRINIDAD, CARACAS"
46,"INDUSTRIAS INDUSAGRI, C.A.",J-30117353-8,,,"AVE. ROOSEVELT. EDIF.ARAGUA., OFIC PB-1, URB. LOS ROSALES,CARACAS","AVE. ROOSEVELT. EDIF.ARAGUA., OFIC PB-1, URB. LOS ROSALES,CARACAS",TELEFAX.212-6331941/ ,CELULAR.0414-2379820,indusagri@cantv.net
47,"INDUVAR,S.A.",J-07522996-7,0035691952,,"CALLE CADAFE,ZONA IND. GUAYAS. LAS TEJERIAS. EDO.ARAGUA","CALLE CADAFE,ZONA IND. GUAYAS. LAS TEJERIAS. EDO.ARAGUA"
48,INGREDIA,J-30940318-4,0253403101,,"PROLONGACION AVE. SOCO. ZONA LA CHAPA, LA VICTORIA, EDO. ARAGUA-.","PROLONGACION AVE. SOCO. ZONA LA CHAPA, LA VICTORIA, EDO. ARAGUA-."
49,"IND. INTERCAPS DE VENEZUELA,C.A.",J-00218970-3,0064014064,,"1ERA TRANSVERSAL,URB. ARTIGAS.EDIF. INTERCAPS, SAN MARTIN, CARACAS","1ERA TRANSVERSAL,URB. ARTIGAS.EDIF. INTERCAPS, SAN MARTIN, CARACAS"
50,"LABORATORIOS INTRA,S.A.",J-07011911-0,0031855080,,"AVE. PRINCIPAL DE LOS ESTANQUES # 50-75, MARACAIBO, EDO. ZULIA.    ",,,,laboratoriointra@cantv.net
51,"INVERSIONES CASARO,C.A.",J-30091880-7,0124726921,,"AVE. JUAN GERMAN ROSCIO CON AVE. DE LA COTA MIL, QTA. MILENA, Nº2, SAN BERNARDINO, CARACAS."
52,"INDUSTRIAS CAPSUVAR,S.A.",J-00235042-3,,,"ESQ. LAS PIEDRAS A PUENTE RESTAURADOR, EDIF. VARGAS, QUINTA CRESPO, CARACAS",,212-5421822/5421701,212-5421553/5422908
53,"INDUSTRIAS NITRIVR L.A.B.,C.A.",J30684116-4,0127979316,,"AVE. PANTEON,ESPERANZA A CANONIGOS, EDIF. KAFARCHIMA,PISO1,Ç(AL LADO DE SOC, ANTICANCEROSA),ALTAGRACIA,CARACAS"
54,"INDUSTRIAS LAKELAND,C.A",J00256825-9,,,"CALLE 3A,CTRO. PROFESIONAL LA URBINA. PISO 12, OFIC. 12G, LA URBINA EDO. MIRANDA"
55,"INDUSTRIA DE TAPAS TAIME,C.A.",J-00154545-0,0004662717,,"AVE. REINALDO HAHN, QTA. TÁCATA, URB. SANTA MONICA. LOS CHAGUARAMOS, CARACAS"
56,CORPORACION ISP ANDINA,J-30020033-7,0066128490,,"AVE. LA ESTANCIA, TORRE LAS MERCEDES, PISO4, OFIC. 407, CARACAS"
57,"LABORATORIOS KIMICEG,C.A.",J-00194626-8,0066240576,,"2da.ave. Urb. Montalban uno,ctro. Comercial uslar. Torre de ofic., piso7.ofic.71,72,73,74. CARACAS"
58,KONSUMA DE VENEZUELA,J-30228171-7,0067708008,,"AVE. PRINCIPAL DE LOS RUICES,EDIF. FARMA,CARACAS."
59,"LABORATORIOS KLINOS,C.A.",J-00021495-6,0035581421,,"2DA. AVE. CAMPO ALEGRE, TORRE CREDIVAL, MEZANINA,CARACAS."
60,"LA ESTIC DE VENEZUELA,S.A.",J-00093157-5,0009215808,,"AVE. PRINCIPAL DE BOLEITA NORTE, EDIF. VICSON II, PISO 2,CARACAS.",,0212-234.28.74 MASTER,FAX.235.7849,estic@genesisbci.net / admin@genesisbci.net
61,"LABORATORIOS FARMACEUTICOS, S.M.,C.A.",J-07013139-0,0024921565,,"AVE. 59A Nº. 99L-20 CIRCUNVALACION 2., MARACAIBO, EDO. ZULIA"
62,"LABORATORIO ARTEMISA,C.A",J-30846408-2,0212694096,,"AVE. WASHINTON, QTA, MELEK. URBA. EL PILAR. EL PARAISO. CARACAS"
